Word,walden.txt count,lotus.txt count,walden.txt freq,lotus.txt freq,Log Likelihood
Buddha,0,1163,0.00000,0.01053,1675.68991
Law,1,596,0.00001,0.00540,841.28309
beings,4,576,0.00003,0.00522,785.47830
will,277,1297,0.00236,0.01174,783.64293
which,865,88,0.00738,0.00080,689.02545
Buddhas,0,468,0.00000,0.00424,666.62410
World,1,380,0.00001,0.00344,529.57006
I,2011,758,0.01715,0.00686,521.46249
Honored,0,339,0.00000,0.00307,480.13517
a,2990,1433,0.02550,0.01298,479.88793
One,55,529,0.00047,0.00479,472.79822
sutra,0,326,0.00000,0.00295,461.36347
but,666,115,0.00568,0.00104,397.60251
my,743,160,0.00634,0.00145,374.54374
great,96,540,0.00082,0.00489,368.59784
bodhisattvas,0,260,0.00000,0.00235,366.14024
living,42,399,0.00036,0.00361,354.16189
Bodhisattva,0,233,0.00000,0.00211,327.23086
thousand,35,353,0.00030,0.00320,320.33773
it,1423,592,0.01214,0.00536,307.62277
preach,1,213,0.00001,0.00193,289.78264
this,482,1093,0.00411,0.00990,282.81964
heavenly,3,215,0.00003,0.00195,278.05607
Come,3,214,0.00003,0.00194,276.64401
not,1037,386,0.00885,0.00350,272.78288
At,43,323,0.00037,0.00292,258.14671
immeasurable,2,195,0.00002,0.00177,256.61812
than,316,34,0.00270,0.00031,243.80731
saying,5,198,0.00004,0.00179,241.86658
was,884,329,0.00754,0.00298,232.31756
kalpas,0,167,0.00000,0.00151,232.27599
some,336,46,0.00287,0.00042,230.27148
all,451,965,0.00385,0.00874,223.93031
extinction,0,161,0.00000,0.00146,223.65817
thousands,6,187,0.00005,0.00169,221.13052
these,125,455,0.00107,0.00412,219.45028
Thus,18,225,0.00015,0.00204,218.76870
ten,35,266,0.00030,0.00241,213.43716
wisdom,16,213,0.00014,0.00193,210.94823
Sutra,0,151,0.00000,0.00137,209.30205
bodhisattva,0,150,0.00000,0.00136,207.86694
Lotus,0,146,0.00000,0.00132,202.12750
its,385,79,0.00328,0.00072,201.19344
assembly,0,140,0.00000,0.00127,193.52139
sons,1,145,0.00001,0.00131,192.80406
attain,1,145,0.00001,0.00131,192.80406
able,9,176,0.00008,0.00159,191.47408
woods,148,0,0.00126,0.00000,187.32203
persons,5,148,0.00004,0.00134,172.85809
Great,7,153,0.00006,0.00139,169.80754
pond,165,8,0.00141,0.00007,162.54480
King,3,131,0.00003,0.00119,160.27993
mind,39,226,0.00033,0.00205,156.15137
alms,0,112,0.00000,0.00101,153.41743
million,5,134,0.00004,0.00121,153.74395
vehicle,0,111,0.00000,0.00101,151.98723
ice,121,0,0.00103,0.00000,151.84754
It,293,64,0.00250,0.00058,144.93359
preached,0,106,0.00000,0.00096,144.83880
time,173,448,0.00148,0.00406,143.01891
on,694,296,0.00592,0.00268,141.99994
monks,0,104,0.00000,0.00094,141.98068
power,12,147,0.00010,0.00133,141.12991
as,1138,598,0.00971,0.00541,140.96743
powers,3,115,0.00003,0.00104,138.12958
kinds,10,138,0.00009,0.00125,137.13993
preaching,1,106,0.00001,0.00096,137.56448
directions,6,123,0.00005,0.00111,134.13813
at,610,251,0.00520,0.00227,133.81250
me,347,100,0.00296,0.00091,129.62758
constantly,5,116,0.00004,0.00105,129.35774
king,6,119,0.00005,0.00108,128.79276
person,14,142,0.00012,0.00129,127.72587
man,358,107,0.00305,0.00097,127.97898
our,290,72,0.00247,0.00065,127.26847
lands,3,107,0.00003,0.00097,127.10833
jeweled,0,94,0.00000,0.00085,127.70203
expedient,3,107,0.00003,0.00097,127.10833
Shariputra,0,93,0.00000,0.00084,126.27535
verse,1,98,0.00001,0.00089,126.28992
law,19,153,0.00016,0.00139,125.31102
only,272,65,0.00232,0.00059,123.85175
voice,12,133,0.00010,0.00120,123.32833
gained,1,96,0.00001,0.00087,123.47523
samyak,0,91,0.00000,0.00082,123.42270
winter,98,0,0.00084,0.00000,121.70985
Because,2,98,0.00002,0.00089,120.19556
spoke,6,113,0.00005,0.00102,120.80287
various,21,153,0.00018,0.00139,119.48114
any,233,49,0.00199,0.00044,118.79130
benefits,0,87,0.00000,0.00079,117.72036
anuttara,0,87,0.00000,0.00079,117.72036
sambodhi,0,87,0.00000,0.00079,117.72036
wonderful,8,116,0.00007,0.00105,116.44061
more,353,113,0.00301,0.00102,115.45492
you,287,573,0.00245,0.00519,114.97609
most,192,33,0.00164,0.00030,113.76839
flowers,14,130,0.00012,0.00118,112.84484
day,201,39,0.00171,0.00035,109.14162
Universal,0,81,0.00000,0.00073,109.17492
practice,6,104,0.00005,0.00094,108.88850
morning,88,0,0.00075,0.00000,108.63888
hundred,37,177,0.00032,0.00160,107.13171
Shakyamuni,0,80,0.00000,0.00072,107.75170
recite,0,79,0.00000,0.00072,106.32879
Good,3,91,0.00003,0.00082,105.20188
millions,6,101,0.00005,0.00091,104.93790
understand,10,110,0.00009,0.00100,101.33936
Walden,82,0,0.00070,0.00000,100.80838
Dharma,0,75,0.00000,0.00068,100.64042
hearers,0,74,0.00000,0.00067,99.21918
sutras,0,74,0.00000,0.00067,99.21918
countless,0,74,0.00000,0.00067,99.21918
And,55,203,0.00047,0.00184,98.68430
water,178,34,0.00152,0.00031,97.66858
Brahma,4,89,0.00003,0.00081,97.71221
Wonderful,0,72,0.00000,0.00065,96.37780
would,334,117,0.00285,0.00106,95.97858
may,218,54,0.00186,0.00049,95.63484
of,3476,4082,0.02965,0.03696,94.66370
four,31,153,0.00026,0.00139,94.57878
joy,9,102,0.00008,0.00092,94.75855
hundreds,0,70,0.00000,0.00063,93.53793
new,90,3,0.00077,0.00003,93.45227
expound,0,70,0.00000,0.00063,93.53793
gain,2,79,0.00002,0.00072,93.94734
transcendental,0,69,0.00000,0.00062,92.11860
uphold,0,69,0.00000,0.00062,92.11860
so,428,178,0.00365,0.00161,91.76826
attained,4,84,0.00003,0.00076,91.02990
minds,6,90,0.00005,0.00081,90.55542
accept,4,83,0.00003,0.00075,89.69727
worlds,2,76,0.00002,0.00069,89.82970
surface,73,0,0.00062,0.00000,89.08311
shore,90,4,0.00077,0.00004,88.78415
Ganges,3,79,0.00003,0.00072,88.92317
world,99,264,0.00084,0.00239,87.67044
kings,3,78,0.00003,0.00071,87.57379
offerings,0,66,0.00000,0.00060,87.86310
spring,76,1,0.00065,0.00001,86.48113
Bodhisattvas,0,65,0.00000,0.00059,86.44549
preaches,0,65,0.00000,0.00059,86.44549
way,107,274,0.00091,0.00248,85.76695
evil,16,112,0.00014,0.00101,85.26645
unsurpassed,0,64,0.00000,0.00058,85.02833
summer,70,0,0.00060,0.00000,85.18101
wheel,3,76,0.00003,0.00069,84.87874
incense,2,72,0.00002,0.00065,84.35341
profound,1,68,0.00001,0.00062,84.28797
son,8,91,0.00007,0.00082,84.39586
sands,3,76,0.00003,0.00069,84.87874
Virtue,1,68,0.00001,0.00062,84.28797
entered,3,75,0.00003,0.00068,83.53314
practices,0,62,0.00000,0.00056,82.19546
sake,9,92,0.00008,0.00083,82.22651
doctrines,1,66,0.00001,0.00060,81.50898
got,71,1,0.00061,0.00001,80.10560
nirvana,0,61,0.00000,0.00055,80.77978
means,22,121,0.00019,0.00110,80.25746
get,89,6,0.00076,0.00005,79.34677
merit,1,63,0.00001,0.00057,77.34712
enter,1,63,0.00001,0.00057,77.34712
named,10,91,0.00009,0.00082,77.75326
form,31,136,0.00026,0.00123,76.72926
multitude,4,73,0.00003,0.00066,76.45068
by,672,365,0.00573,0.00330,75.02108
much,150,33,0.00128,0.00030,73.18138
might,96,10,0.00082,0.00009,73.62142
meaning,8,82,0.00007,0.00074,73.13119
Ones,0,56,0.00000,0.00051,73.70952
live,103,13,0.00088,0.00012,72.39539
causes,4,70,0.00003,0.00063,72.50841
Now,7,79,0.00006,0.00072,72.77726
samadhi,0,55,0.00000,0.00050,72.29723
beg,0,55,0.00000,0.00050,72.29723
house,195,57,0.00166,0.00052,71.25131
body,33,135,0.00028,0.00122,71.82166
understanding,1,58,0.00001,0.00053,70.43025
believers,0,54,0.00000,0.00049,70.88558
every,108,16,0.00092,0.00014,69.62959
Nature,58,0,0.00049,0.00000,69.61197
