Word,lotus.txt count,walden.txt count,lotus.txt freq,walden.txt freq,Log Likelihood
Buddha,1163,0,0.01053,0.00000,1675.68991
Law,596,1,0.00540,0.00001,841.28309
beings,576,4,0.00522,0.00003,785.47830
will,1297,277,0.01174,0.00236,783.64293
which,88,865,0.00080,0.00738,689.02545
Buddhas,468,0,0.00424,0.00000,666.62410
World,380,1,0.00344,0.00001,529.57006
I,758,2011,0.00686,0.01715,521.46249
Honored,339,0,0.00307,0.00000,480.13517
a,1433,2990,0.01298,0.02550,479.88793
One,529,55,0.00479,0.00047,472.79822
sutra,326,0,0.00295,0.00000,461.36347
but,115,666,0.00104,0.00568,397.60251
my,160,743,0.00145,0.00634,374.54374
great,540,96,0.00489,0.00082,368.59784
bodhisattvas,260,0,0.00235,0.00000,366.14024
living,399,42,0.00361,0.00036,354.16189
Bodhisattva,233,0,0.00211,0.00000,327.23086
thousand,353,35,0.00320,0.00030,320.33773
it,592,1423,0.00536,0.01214,307.62277
preach,213,1,0.00193,0.00001,289.78264
this,1093,482,0.00990,0.00411,282.81964
heavenly,215,3,0.00195,0.00003,278.05607
Come,214,3,0.00194,0.00003,276.64401
not,386,1037,0.00350,0.00885,272.78288
At,323,43,0.00292,0.00037,258.14671
immeasurable,195,2,0.00177,0.00002,256.61812
than,34,316,0.00031,0.00270,243.80731
saying,198,5,0.00179,0.00004,241.86658
kalpas,167,0,0.00151,0.00000,232.27599
was,329,884,0.00298,0.00754,232.31756
some,46,336,0.00042,0.00287,230.27148
extinction,161,0,0.00146,0.00000,223.65817
all,965,451,0.00874,0.00385,223.93031
thousands,187,6,0.00169,0.00005,221.13052
these,455,125,0.00412,0.00107,219.45028
Thus,225,18,0.00204,0.00015,218.76870
ten,266,35,0.00241,0.00030,213.43716
wisdom,213,16,0.00193,0.00014,210.94823
Sutra,151,0,0.00137,0.00000,209.30205
bodhisattva,150,0,0.00136,0.00000,207.86694
Lotus,146,0,0.00132,0.00000,202.12750
its,79,385,0.00072,0.00328,201.19344
assembly,140,0,0.00127,0.00000,193.52139
attain,145,1,0.00131,0.00001,192.80406
sons,145,1,0.00131,0.00001,192.80406
able,176,9,0.00159,0.00008,191.47408
woods,0,148,0.00000,0.00126,187.32203
persons,148,5,0.00134,0.00004,172.85809
Great,153,7,0.00139,0.00006,169.80754
pond,8,165,0.00007,0.00141,162.54480
King,131,3,0.00119,0.00003,160.27993
mind,226,39,0.00205,0.00033,156.15137
million,134,5,0.00121,0.00004,153.74395
alms,112,0,0.00101,0.00000,153.41743
ice,0,121,0.00000,0.00103,151.84754
